DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
18003800,Lake or Pond,429742.1407,5138255.585,Crow Wing,Y,1,3.76381106,6.1,32.691,2068.9019248931327,2165.5133265109293,2075.6335070548657,1917.1606420143921,1899.6675676874468
18004100,Lake or Pond,430581.7008,5135503.956,Crow Wing,Y,1,4.9276,5.6388,44.3127,2074.8794627856223,2172.6278803843998,2082.768549166994,1923.504395358739,1905.548026567479
18004400,Lake or Pond,430599.9309,5134093.648,Crow Wing,Y,1,4.322330435,6.4,32.323,2074.8794627856223,2172.6278803843998,2082.768549166994,1923.504395358739,1905.548026567479
18005000,Lake or Pond,429600.3497,5133574.872,Crow Wing,Y,1,3.815045685,7.16,42.1416,2074.8794627856223,2172.6278803843998,2082.768549166994,1923.504395358739,1905.548026567479
18009000,Lake or Pond,429052.0004,5147848.052,Crow Wing,Y,0,4.58411866,7.6,119.9252,2103.648012814882,2198.5257041303403,2109.024805337392,1951.396637494788,1936.7075239320236
18009600,Lake or Pond,420107.439,5129044.926,Crow Wing,Y,1,2.19342385,6.85,44.2378,2153.518460300907,2253.056444177319,2158.4036575675805,2000.1128859464957,1981.5845813448036
18013900,Lake or Pond,419150.0305,5146593.465,Crow Wing,Y,0,3.118538182,5.4,33.311,2160.2164761782365,2258.019419318814,2161.931002309199,2009.8101335029153,1994.5397225091501
18014000,Lake or Pond,418609.6165,5151063.495,Crow Wing,Y,0,3.60024,4.9,15.3924,2152.8257633402845,2253.301257401761,2157.2084307388027,2002.8367438131015,1985.4834248310742
18014500,Lake or Pond,410275.1121,5137108.826,Crow Wing,Y,0,2.282021333,5.6,86.2031,2192.4112185983386,2296.6434964633163,2197.18756055459,2040.0765070380821,2020.0874249987921
18018500,Lake or Pond,430006.1245,5176629.105,Crow Wing,Y,1,1.724035714,4.42,25.7684,2148.43396055183,2249.701338237649,2147.769276229578,2002.9017185389316,1988.7399129828848
18020300,Lake or Pond,427718.5976,5175046.162,Crow Wing,Y,1,1.592363842,4.2,49.2235,2155.791257794652,2259.403071919949,2157.7189317356665,2013.6229263660648,2001.9111257266536
18021200,Lake or Pond,427186.2071,5177734.199,Crow Wing,Y,1,5.241206504,7.8,42.2696,2033.9775432516549,2132.1750613672752,2040.3619342329325,1891.803377211979,1879.0182542126195
18024200,Lake or Pond,417711.3332,5156192.006,Crow Wing,Y,1,3.342362483,9.4,31.4841,2132.020953752549,2231.0285300132196,2137.4579838590143,1981.2255776509726,1965.4870725443443
18024300,Lake or Pond,415630.3528,5153837.506,Crow Wing,Y,1,2.883679918,8.53,24.1841,2147.0889365299977,2246.204211384535,2149.607903582095,2000.5011601699716,1982.3322140492337
18026100,Lake or Pond,415358.0286,5165356.307,Crow Wing,Y,1,3.243943662,5.2,29.0417,1892.6022291833442,1983.444400376526,1893.5722892528095,1754.5435932810958,1742.440054847559
18026600,Lake or Pond,418310.1492,5172750.725,Crow Wing,Y,0,2.830850413,4.4,30.2771,2045.3498552046358,2140.890868455051,2051.2309495571963,1897.710944808002,1883.3914940555294
18026900,Lake or Pond,413376.0051,5173541.482,Crow Wing,Y,0,4.353151648,6.1,54.4162,2045.3498552046358,2140.890868455051,2051.2309495571963,1897.710944808002,1883.3914940555294
18027100,Lake or Pond,416416.5685,5171244.969,Crow Wing,Y,0,2.651096154,5.18,54.5322,2045.3498552046358,2140.890868455051,2051.2309495571963,1897.710944808002,1883.3914940555294
18030500,Lake or Pond,410990.0523,5151343.007,Crow Wing,Y,0,4.303095502,8.84,61.3463,2056.557747707895,2150.1635648072156,2059.9752343284467,1907.396725284842,1893.4443861610416
18030800,Lake or Pond,409892.1777,5158721.538,Crow Wing,Y,0,5.198569281,11,62.903,2029.3160293319584,2120.368801433352,2033.703289877922,1879.7744831779537,1866.5576391801594
